tick,hp,maxhp,money,inv,own,enemy,enemy_dps,enemy_swings,enemy_value,choice,t1,t2,t3,t4,t5,t6,t7,t8,wipe_veto,w_radius,w_reach,w_valrad,w_valreach,w_spread,p2money,p2inv,p1income,p2income,p1spent,p2spent,own_lost,foe_lost,own_val,foe_val,p1def,p2def,p1off,p2off,o1,o2,o3,o4,o5,o6,o7,o8,p2hp,p2maxhp,ownpos,foepos,b1,b2,b3,b4,b5,b6,b7,b8,f1,f2,f3,f4,f5,f6,f7,f8
3,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,reinforcements,reinforcements,nuke,nuke,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
